qid,ans,label
0,What could be a potential cause for gum swelling behind a tooth?,1
0,"0,Periodontal disease can lead to gum swelling behind a tooth due to bacterial infection and inflammation.",0
0,"0,Swollen gums behind a tooth are typically caused by an allergic reaction to dental floss.",0
0,"0,A broken nail or sharp object caught between the teeth is usually the reason for gum swelling behind a tooth.",0
0,"0,Gum swelling behind a tooth is commonly a result of excessive vitamin C intake.",0
0,"0,Eating too much sugar directly causes gum swelling behind a tooth without involving any oral health issues. </s><|im_end|",0
14,"After elbow surgery, patients typically experience reduced pain and improved range of motion over several weeks of rehabilitation.",1
14,"14,Elbow surgery results in immediate full recovery without the need for physical therapy or follow-up visits.",0
14,"14,Post-surgery, patients may experience increased pain for up to six months before any improvement is noticed.",0
14,"14,Recovery from elbow surgery usually involves a period of immobilization followed by gradual reintroduction of movement and strength training.",0
14,"14,Patients undergoing elbow surgery can return to all previous activities, including heavy lifting, within two weeks post-operation. </s><|endoftext|",0
15,The detrusor muscle is a smooth muscle layer of the bladder wall responsible for its contraction during urination.,1
15,"15,The detrusor muscle is located in the walls of the stomach and aids in digestion.",0
15,"15,The detrusor muscle is a skeletal muscle found in the heart, assisting with cardiac contractions.",0
15,"15,The detrusor muscle is part of the respiratory system and helps in the expansion of the lungs.",0
15,"15,The detrusor muscle is a type of connective tissue found throughout the body providing structural support. </s><|endoftext|",0
16,The half-life of most antibiotics ranges from 1 to 8 hours.,1
16,"16,Antibiotics can remain in the body for up to several months after the last dose.",0
16,"16,All antibiotics are completely metabolized within 24 hours of administration.",0
16,"16,Antibiotics leave the body immediately upon completion of the prescribed course.",0
16,"16,Antibiotics have a half-life that lasts for several days to weeks. </s><|endoftext|",0
19,Consuming large amounts of leafy green vegetables can lead to bright green stools.,1
19,"19,Bright green stools are typically caused by excessive consumption of red food dyes.",0
19,"19,A common cause of bright green stools is the body's inability to digest certain metals.",0
19,"19,Bright green stools often result from a severe deficiency in vitamin B12.",0
19,"19,The ingestion of certain medications designed to treat heartburn can cause bright green stools. </s> To refine the distractors for better clarity and plausibility without making them too close to the truth:",0
19,"19,Consuming large amounts of leafy green vegetables can lead to bright green stools.",0
19,"19,Bright green stools are usually due to consuming large quantities of blue food coloring.",0
19,"19,A common cause of bright green stools is the presence of undigested chlorophyll from herbs or supplements.",0
19,"19,Bright green stools often result from taking iron supplements.",0
19,"19,Certain antibiotics can change the color of stool to bright green. </s> Here are the revised statements with more distinct distractors:",0
19,"19,Consuming large amounts of leafy green vegetables can lead to bright green stools.",0
19,"19,Bright green stools are commonly caused by eating large quantities of blueberries.",0
19,"19,A frequent cause of bright green stools is the consumption of artificial green food coloring.",0
19,"19,Bright green stools often indicate an overproduction of bile due to liver dysfunction.",0
19,"19,Taking certain antacids can alter stool color to a bright green hue. </s> Further refining for clarity and ensuring the distractors are less plausible but still somewhat believable:",0
19,"19,Consuming large amounts of leafy green vegetables can lead to bright green stools.",0
19,"19,Bright green stools are often caused by eating foods high in natural blue pigments like blueberries.",0
19,"19,A common cause of bright green stools is the consumption of green sports drinks.",0
19,"19,Bright green stools frequently result from the body's inability to properly digest certain proteins.",0
19,"19,Taking certain digestive enzyme supplements can turn stool color bright green. </s> Final version:",0
19,"19,Consuming large amounts of leafy green vegetables can lead to bright green stools.",0
19,"19,Bright green stools are often caused by eating foods high in natural blue pigments like blueberries.",0
19,"19,A common cause of bright green stools is the consumption of green sport",0
26,Cleocin (Clindamycin) has broad-spectrum activity against many anaerobic bacteria.,1
26,"26,Cleocin is primarily used for treating fungal infections rather than bacterial infections.",0
26,"26,Cleocin is ineffective against anaerobic bacteria due to its narrow spectrum.",0
26,"26,Cleocin is only effective against aerobic bacteria and does not cover anaerobic pathogens.",0
26,"26,Cleocin is an antibiotic that targets viral infections more effectively than bacterial infections. </s><|endoftext|",0
38,"Symptoms of a tendon rupture in the shoulder include sudden severe pain, inability to move the joint, and swelling.",1
38,"38,Symptoms of a tendon rupture in the shoulder include gradual onset pain, increased flexibility in the joint, and decreased swelling over time.",0
38,"38,Symptoms of a tendon rupture in the shoulder include numbness in the arm, rapid heartbeat, and dizziness.",0
38,"38,Symptoms of a tendon rupture in the shoulder include redness around the eyes, blurred vision, and sensitivity to light.",0
38,"38,Symptoms of a tendon rupture in the shoulder include increased appetite, weight gain, and changes in skin pigmentation. </s><|endoftext|",0
46,"The major parts of the peripheral nervous system (PNS) include nerves, ganglia, and neuromuscular junctions.",1
46,"46,The major parts of the PNS consist of the spinal cord, brainstem, and cerebellum.",0
46,"46,The main components of the PNS are the hypothalamus, thalamus, and pineal gland.",0
46,"46,The primary elements of the PNS include the retina, cochlea, and olfactory bulb.",0
46,"46,The key structures in the PNS are the ventricles, atria, and valves of the heart. </s><|endoftext|",0
57,"Cyclosporiasis is an intestinal illness caused by the microscopic parasite Cyclospora cayetanensis, typically contracted from consuming contaminated food or water.",1
57,"57,Cyclosporiasis is primarily spread through direct contact with infected individuals.",0
57,"57,The main symptom of cyclosporiasis is a severe, persistent cough.",0
57,"57,Cyclospora cayetanensis can be effectively treated with penicillin antibiotics.",0
57,"57,This condition is most commonly found in arid regions where water sources are scarce. </s><|endoftext|",0
63,"Bryophytes are non-vascular plants that include mosses, liverworts, and hornworts.",1
63,"63,Bryophytes are aquatic organisms that live exclusively underwater.",0
63,"63,Bryophytes are flowering plants that produce seeds.",0
63,"63,Bryophytes are fungi that decompose organic matter in soil.",0
